PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Fareplus
1,0,3,1,22.0,1,0,0,3,0
2,1,1,0,38.0,1,0,3,1,7
3,1,3,0,26.0,0,0,0,3,0
4,1,1,0,35.0,1,0,3,3,5
5,0,3,1,35.0,0,0,0,3,0
6,0,3,1,,0,0,0,2,0
7,0,1,1,54.0,0,0,5,3,5
8,0,3,1,2.0,3,1,0,3,2
9,1,3,0,27.0,0,2,0,3,1
10,1,2,0,14.0,1,0,0,1,3
11,1,3,0,4.0,1,1,7,3,1
12,1,1,0,58.0,0,0,3,3,2
13,0,3,1,20.0,0,0,0,3,0
14,0,3,1,39.0,1,5,0,3,3
15,0,3,0,14.0,0,0,0,3,0
16,1,2,0,55.0,0,0,0,3,1
17,0,3,1,2.0,4,1,0,2,2
18,1,2,1,,0,0,0,3,1
19,0,3,0,31.0,1,0,0,3,1
20,1,3,0,,0,0,0,1,0
21,0,2,1,35.0,0,0,0,3,2
22,1,2,1,34.0,0,0,4,3,1
23,1,3,0,15.0,0,0,0,2,0
24,1,1,1,28.0,0,0,1,3,3
25,0,3,0,8.0,3,1,0,3,2
26,1,3,0,38.0,1,5,0,3,3
27,0,3,1,,0,0,0,1,0
28,0,1,1,19.0,3,2,3,3,20
29,1,3,0,,0,0,0,2,0
30,0,3,1,,0,0,0,3,0
31,0,1,1,40.0,0,0,0,1,2
32,1,1,0,,1,0,2,1,14
33,1,3,0,,0,0,0,2,0
34,0,2,1,66.0,0,0,0,3,1
35,0,1,1,28.0,1,0,0,1,8
36,0,1,1,42.0,1,0,0,3,5
37,1,3,1,,0,0,0,1,0
38,0,3,1,21.0,0,0,0,3,0
39,0,3,0,18.0,2,0,0,3,1
40,1,3,0,14.0,1,0,0,1,1
41,0,3,0,40.0,1,0,0,3,0
42,0,2,0,27.0,1,0,0,3,2
43,0,3,1,,0,0,0,1,0
44,1,2,0,3.0,1,2,0,1,4
45,1,3,0,19.0,0,0,0,2,0
46,0,3,1,,0,0,0,3,0
47,0,3,1,,1,0,0,2,1
48,1,3,0,,0,0,0,2,0
49,0,3,1,,2,0,0,1,2
50,0,3,0,18.0,1,0,0,3,1
51,0,3,1,7.0,4,1,0,3,3
52,0,3,1,21.0,0,0,0,3,0
53,1,1,0,49.0,1,0,4,1,7
54,1,2,0,29.0,1,0,0,3,2
55,0,1,1,65.0,0,1,2,1,6
56,1,1,1,,0,0,3,3,3
57,1,2,0,21.0,0,0,0,3,1
58,0,3,1,28.5,0,0,0,1,0
59,1,2,0,5.0,1,2,0,3,2
60,0,3,1,11.0,5,2,0,3,4
61,0,3,1,22.0,0,0,0,1,0
62,1,1,0,38.0,0,0,2,0,8
63,0,1,1,45.0,1,0,3,3,8
64,0,3,1,4.0,3,2,0,3,2
65,0,1,1,,0,0,0,1,2
66,1,3,1,,1,1,0,1,1
67,1,2,0,29.0,0,0,6,3,1
68,0,3,1,19.0,0,0,0,3,0
69,1,3,0,17.0,4,2,0,3,0
70,0,3,1,26.0,2,0,0,3,0
71,0,2,1,32.0,0,0,0,3,1
72,0,3,0,16.0,5,2,0,3,4
73,0,2,1,21.0,0,0,0,3,7
74,0,3,1,26.0,1,0,0,1,1
75,1,3,1,32.0,0,0,0,3,5
76,0,3,1,25.0,0,0,6,3,0
77,0,3,1,,0,0,0,3,0
78,0,3,1,,0,0,0,3,0
79,1,2,1,0.83,0,2,0,3,2
80,1,3,0,30.0,0,0,0,3,1
81,0,3,1,22.0,0,0,0,3,0
82,1,3,1,29.0,0,0,0,3,0
83,1,3,0,,0,0,0,2,0
84,0,1,1,28.0,0,0,0,3,4
85,1,2,0,17.0,0,0,0,3,1
