PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Fareplus,Ageplus
1,0,3,1,1,0,0,3,0,2
2,1,1,0,1,0,3,1,7,3
3,1,3,0,0,0,0,3,0,2
4,1,1,0,1,0,3,3,5,3
5,0,3,1,0,0,0,3,0,3
6,0,3,1,0,0,0,2,0,4
7,0,1,1,0,0,5,3,5,5
8,0,3,1,3,1,0,3,2,0
9,1,3,0,0,2,0,3,1,2
10,1,2,0,1,0,0,1,3,1
11,1,3,0,1,1,7,3,1,0
12,1,1,0,0,0,3,3,2,5
13,0,3,1,0,0,0,3,0,2
14,0,3,1,1,5,0,3,3,3
15,0,3,0,0,0,0,3,0,1
16,1,2,0,0,0,0,3,1,5
17,0,3,1,4,1,0,2,2,0
18,1,2,1,0,0,0,3,1,3
19,0,3,0,1,0,0,3,1,3
20,1,3,0,0,0,0,1,0,4
21,0,2,1,0,0,0,3,2,3
22,1,2,1,0,0,4,3,1,3
23,1,3,0,0,0,0,2,0,1
24,1,1,1,0,0,1,3,3,2
25,0,3,0,3,1,0,3,2,0
26,1,3,0,1,5,0,3,3,3
27,0,3,1,0,0,0,1,0,3
28,0,1,1,3,2,3,3,20,1
29,1,3,0,0,0,0,2,0,3
30,0,3,1,0,0,0,3,0,4
31,0,1,1,0,0,0,1,2,4
32,1,1,0,1,0,2,1,14,3
33,1,3,0,0,0,0,2,0,4
34,0,2,1,0,0,0,3,1,6
35,0,1,1,1,0,0,1,8,2
36,0,1,1,1,0,0,3,5,4
37,1,3,1,0,0,0,1,0,5
38,0,3,1,0,0,0,3,0,2
39,0,3,0,2,0,0,3,1,1
40,1,3,0,1,0,0,1,1,1
41,0,3,0,1,0,0,3,0,4
42,0,2,0,1,0,0,3,2,2
43,0,3,1,0,0,0,1,0,3
44,1,2,0,1,2,0,1,4,0
45,1,3,0,0,0,0,2,0,1
46,0,3,1,0,0,0,3,0,5
47,0,3,1,1,0,0,2,1,3
48,1,3,0,0,0,0,2,0,3
49,0,3,1,2,0,0,1,2,3
50,0,3,0,1,0,0,3,1,1
51,0,3,1,4,1,0,3,3,0
52,0,3,1,0,0,0,3,0,2
53,1,1,0,1,0,4,1,7,4
54,1,2,0,1,0,0,3,2,2
55,0,1,1,0,1,2,1,6,6
56,1,1,1,0,0,3,3,3,5
57,1,2,0,0,0,0,3,1,2
58,0,3,1,0,0,0,1,0,2
59,1,2,0,1,2,0,3,2,0
60,0,3,1,5,2,0,3,4,1
61,0,3,1,0,0,0,1,0,2
