PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Fareplus,Ageplus,Survivedplus,p0
2,1,1,0,1,0,3,1,7,3,0.9872000000000001,0.9834341006711105
3,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
4,1,1,0,1,0,3,3,5,3,0.8934,0.8830613763949383
9,1,3,0,0,2,0,3,1,2,0.6242000000000001,0.6079743756161984
10,1,2,0,1,0,0,1,3,1,0.8492999999999999,0.837314715813255
11,1,3,0,1,1,7,3,1,0,0.8463,0.8342174040629042
12,1,1,0,0,0,3,3,2,5,0.8575,0.8457892247954178
16,1,2,0,0,0,0,3,1,5,0.645,0.6289692005194211
18,1,2,1,0,0,0,3,1,3,0.22020000000000017,0.2063177001488138
20,1,3,0,0,0,0,1,0,4,0.6434,0.6273530556803559
22,1,2,1,0,0,4,3,1,3,0.3265999999999999,0.3108889288929401
23,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
24,1,1,1,0,0,1,3,3,2,0.41680000000000006,0.4002829014214196
26,1,3,0,1,5,0,3,3,3,0.5482,0.5315273828804186
29,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
32,1,1,0,1,0,2,1,14,3,0.9606,0.9540825073503908
33,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
37,1,3,1,0,0,0,1,0,5,0.10670000000000002,0.0963571071697148
40,1,3,0,1,0,0,1,1,1,0.7166,0.7015026934712845
44,1,2,0,1,2,0,1,4,0,0.8866,0.8759773826200885
45,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
48,1,3,0,0,0,0,2,0,3,0.6338,0.6176602636742597
53,1,1,0,1,0,4,1,7,4,0.9765,0.9714250566008032
54,1,2,0,1,0,0,3,2,2,0.7182,0.7031285740957307
56,1,1,1,0,0,3,3,3,5,0.3581,0.3420380970919365
57,1,2,0,0,0,0,3,1,2,0.7569,0.7425294668775921
59,1,2,0,1,2,0,3,2,0,0.7928,0.7792219362228207
62,1,1,0,0,0,2,0,8,3,1.0462,
66,1,3,1,1,1,0,1,1,3,0.14260000000000028,0.13088579957562255
67,1,2,0,0,0,6,3,1,2,0.9165,0.9072323287369625
69,1,3,0,4,2,0,3,0,1,0.5067,0.4899508736847789
75,1,3,1,0,0,0,3,5,3,0.08749999999999991,0.07803367063246125
79,1,2,1,0,2,0,3,2,0,0.33210000000000006,0.31632202340429727
80,1,3,0,0,0,0,3,1,3,0.5869000000000001,0.5704042980804641
82,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
83,1,3,0,0,0,0,2,0,4,0.5965,0.5800643024217969
85,1,2,0,0,0,0,3,1,1,0.7942,0.7806559429460195
86,1,3,0,3,0,0,3,1,3,0.4708,0.454077958657309
89,1,1,0,3,2,3,3,20,2,0.8533,0.841447032933361
98,1,1,1,0,1,4,1,6,2,0.5904,0.5739254220942777
99,1,2,0,0,1,0,3,2,3,0.7196,0.7045514127721799
107,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
108,1,3,1,0,0,0,3,0,3,0.08749999999999991,0.07803367063246125
110,1,3,0,1,0,0,2,2,4,0.5578000000000001,0.5411616685309473
124,1,2,0,0,0,5,3,1,3,0.8526,0.8407236618687658
126,1,3,1,1,0,0,1,1,1,0.21720000000000006,0.2033860949379268
128,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
129,1,3,0,1,1,6,1,2,5,0.7270000000000001,0.7120751602437132
134,1,2,0,1,0,0,3,2,2,0.7182,0.7031285740957307
137,1,1,0,0,2,4,3,2,1,1.0333,
142,1,3,0,0,0,0,3,0,2,0.6242000000000001,0.6079743756161984
143,1,3,0,1,0,0,3,1,2,0.5855,0.5689960892979148
147,1,3,1,0,0,0,3,0,2,0.12480000000000002,0.11372810151659005
152,1,1,0,1,0,3,3,6,2,0.9307000000000001,0.92219189928493
157,1,3,0,0,0,0,2,0,1,0.7084,0.6931737069514606
162,1,2,0,0,0,0,3,1,4,0.6823,0.6667024121263977
166,1,3,1,0,2,0,3,2,0,0.19940000000000002,0.18601459494589717
167,1,1,0,0,1,5,3,5,5,0.9107000000000001,0.9011462351924618
173,1,3,0,1,1,0,3,1,0,0.6601,0.6442312909811186
184,1,2,1,2,1,6,3,3,0,0.4142999999999999,0.3977972535700677
185,1,3,0,0,2,0,3,2,0,0.6988000000000001,0.6834303109964015
187,1,3,0,1,0,0,2,1,5,0.5205000000000001,0.5037634545720465
